,BRUCE A-1,BRUCE A-2,BRUCE A-3,BRUCE A-4,BRUCE B-5,BRUCE B-6,BRUCE B-7,BRUCE B-8,DARLINGTON-1,DARLINGTON-2,DARLINGTON-3,DARLINGTON-4,PICKERING A-1,PICKERING A-4,PICKERING B-5,PICKERING B-6,PICKERING B-7,PICKERING B-8,AB KENORA,AGUASABON,ALEXANDER,AP IROQUOIS FALLS,ARNPRIOR,AUBREY FALLS,BARRETT CHUTE,BECK-I,BECK-II,BECK-PGS,CAMERONFALLS,CANYON,CARIBOUFALLS,CARMICHAEL,CHATSFALLS,CHENAUX,CLERGUE,D.A. WATSON,DECEW FALLS 1,DECEW FALLS 2,DESJOACHIMS,EAR FALLS,FORT FRANCES,GARTSHORE FALLS,HARMON,HARMON 2,HARRIS,HOLDEN,HOLLINGSWORTH,KAKABEKA FALLS,KIPLING,KIPLING 2,LITTLE LONG 2,LITTLELONG,LONG SAULT RAPIDS,LOWER NOTCH,LOWER WHITE RIVER,MACKAY,MANITOU FALLS,MISSION FALLS,MOUNTAIN CHUTE,NAGAGAMI,OTTER RAPIDS,PETER SUTHERLAND SR,PINE PORTAGE,RAYNER,RED ROCK FALLS,RH SAUNDERS,SILVER FALLS,SMOKY FALLS 2,STEEPHILL FALLS,STEWARTVILLE,UMBATA FALLS,UPPER WHITE RIVER,WELLS,WHITEDOG FALLS,(DESTEC) KINGSTON,(DOWCHEM) SARNIA,BRIGHTON BEACH,CARDINAL,DUPONT,EAST WINDSOR-1,EAST WINDSOR-2,GREENFIELD SOUTH-1,GREENFIELD SOUTH-2,GREENFIELD-1,GREENFIELD-2,GREENFIELD-3,GREENFIELD-4,GTAA-1,GTAA-2,GTAA-3,HALTON HILLS-1,HALTON HILLS-2,HALTON HILLS-3,KAPUSKASING,KIRKLAND LAKE G1-G5,LAKE SUPERIOR,LENNOX-1 (OIL/GAS),LENNOX-2 (OIL/GAS),LENNOX-3 (OIL/GAS),LENNOX-4 (OIL/GAS),NAPANEE-G1,NAPANEE-G2,NAPANEE-G3,NIPIGON,NORTH BAY,NP COCHRANE,NP IROQUOIS FALLS,NP KIRKLAND LAKE,PORTLANDS-1,PORTLANDS-2,PORTLANDS-3,SITHE GOREWAY-11,SITHE GOREWAY-12,SITHE GOREWAY-13,SITHE GOREWAY-15,ST. CLAIR SARNIA,THOROLD COGEN,TRANSALTA OTTAWA,TRANSALTA SARNIA,TRANSALTA WINDSOR,TUNIS,WHITBY COGEN,WINDSOR COGEN,YORK COGEN 1,YORK COGEN 2,ADELAIDE,AMARANTH,AMHERST ISLAND,ARMOW,BELLE RIVER,BLAKE,BORNISH,BOW LAKE,BOW LAKE 2,CEDAR POINT 2,COMBER,CRYSLER,DILLON RALEIGH WIND,EAST LAKE,ERIEAU,GOSFIELD,GOSHEN,GOULAIS,GRAND RENEWABLE,GRAND VALLEY 3,GREENWICH,HENVEY NORTH,HENVEY SOUTH,JERICHO,K2 WIND,KINGSBRIDGE,LANDON,MCLEANS MOUNTAIN,NORTH KENT,POINTES AUX ROCHES,PORT BURWELL,PORTALMA-1,PORTALMA-3,PRINCE WIND FARM,RAILBED SOUTH KENT,RIPLEY SOUTH,ROMNEY,SANDUSK NANTICOKE,SHANNON,SPENCE TALBOT WIND,SUMMERHAVEN,UNDERWOOD,WEST LINCOLN NRWF,WOLFE ISLAND,ZURICH GRAND BEND,KINGSTON SF,NANTICOKE SOLAR,NORTHLAND SOLAR,SOUTHGATE SF,STONE MILLS SF,WINDSOR AIRPORT SF,ATIKOKAN,CALSTOCK,TBAY BOWATER
"Thu Oct 14, 2 PM - 3 PM",795,765,645,775,817,0,817,817,830,835,0,0,0,500,0,415,0,515,11,0,37,93,41,73,109,383,"1,525",58,47,140,93,20,192,79,53,17,148,16,238,0,10,89,156,0,12,132,0,25,152,0,75,0,20,267,2,62,53,15,173,9,91,27,128,42,37,939,0,176,15,182,24,4,235,73,120,36,565,184,52,46,46,192,133,0,0,0,0,0,47,0,0,0,0,0,80,0,0,525,525,525,260,260,458,23,0,0,125,26,194,194,236,193,193,193,348,618,0,70,510,76,59,55,133,0,232,6,7,2,12,29,3,8,0,1,12,43,0,9,4,10,11,11,8,38,7,48,17,33,15,23,1,5,4,5,13,3,10,15,40,28,7,23,9,9,7,6,8,10,4,5,47,25,8,11,31,28,0,38,0
"Thu Oct 14, 3 PM - 4 PM",795,765,645,775,817,0,817,817,830,835,0,0,0,500,0,415,0,515,11,0,37,93,41,73,109,383,"1,525",58,47,140,93,20,192,79,53,17,148,16,238,0,10,89,156,0,12,132,0,25,152,0,75,0,20,267,2,62,53,15,173,9,91,27,128,42,37,939,0,176,15,182,24,4,235,73,120,36,565,184,52,46,46,192,133,0,0,0,0,47,47,0,0,0,0,0,80,0,0,525,525,525,260,260,458,23,0,0,125,26,194,194,236,193,193,193,348,618,0,70,510,76,59,55,133,0,232,7,17,3,23,34,8,11,0,1,20,44,0,12,11,10,7,15,10,57,8,39,10,23,22,33,2,6,5,22,20,2,7,13,51,57,8,20,8,18,11,6,16,6,5,10,32,34,5,8,18,23,0,38,0
"Thu Oct 14, 4 PM - 5 PM",795,765,645,775,817,0,817,817,830,835,0,0,0,500,0,415,0,515,11,0,37,93,41,73,109,383,"1,525",58,47,140,93,20,192,79,53,17,148,16,238,0,10,89,156,78,12,132,0,25,152,79,75,0,20,267,2,62,53,15,173,9,91,27,128,42,37,939,0,264,15,182,24,4,235,73,120,36,565,184,52,46,46,192,133,0,0,0,0,47,47,0,0,0,0,0,80,0,0,525,525,525,260,260,458,23,0,0,125,26,194,194,236,193,193,193,348,618,0,70,510,76,59,55,133,0,232,9,15,1,38,36,11,11,0,7,23,23,0,7,18,6,4,21,18,37,8,40,19,30,29,39,2,7,2,23,11,2,7,10,92,40,9,16,9,17,8,6,33,8,1,15,19,15,1,8,9,6,0,38,0
"Thu Oct 14, 5 PM - 6 PM",795,765,645,775,817,0,817,817,830,835,0,0,0,500,0,415,0,515,11,0,37,93,41,73,109,383,"1,525",58,47,140,93,20,192,79,53,17,148,16,238,0,10,89,156,78,12,132,0,25,152,79,75,0,20,267,2,62,53,15,173,9,91,27,128,42,37,939,0,264,15,182,24,4,235,73,120,36,565,184,52,46,46,192,133,0,0,0,0,47,47,0,0,0,0,0,80,0,0,525,525,525,260,260,458,23,0,0,125,26,194,194,236,193,193,193,348,618,0,70,435,76,59,55,133,0,232,11,16,0,29,28,13,9,0,6,4,19,0,9,22,7,7,12,14,9,7,38,14,27,10,50,4,8,5,18,7,1,12,13,84,32,7,25,10,14,5,6,28,10,0,6,6,4,0,4,2,7,0,38,0
"Thu Oct 14, 6 PM - 7 PM",795,765,645,775,817,0,817,817,830,835,0,0,0,500,0,415,0,515,11,0,37,93,41,73,109,383,"1,525",58,47,140,93,20,192,79,53,17,148,16,238,0,10,89,156,78,12,132,0,25,152,79,75,0,20,267,2,62,53,15,173,9,91,27,128,42,37,939,0,264,15,182,24,3,235,73,120,36,565,184,52,46,46,192,133,0,0,0,0,47,47,0,0,0,0,0,80,0,0,525,525,525,260,260,458,23,0,0,125,26,194,194,236,193,193,193,348,618,0,70,435,76,59,55,133,0,232,11,21,0,39,22,9,15,0,3,23,39,0,10,16,10,11,26,14,1,7,23,14,19,22,90,7,8,5,13,9,0,16,17,54,36,11,35,4,18,6,3,8,12,0,15,0,0,0,0,0,0,0,38,0
"Thu Oct 14, 7 PM - 8 PM",795,765,645,775,817,0,817,817,830,835,0,0,0,500,0,415,0,515,11,0,37,93,41,73,109,383,"1,525",58,47,140,93,20,192,79,53,17,148,16,238,0,10,89,156,78,12,132,0,25,152,79,75,0,20,267,2,62,53,15,173,9,91,27,146,42,37,939,0,264,15,182,24,0,235,73,120,36,565,184,52,46,46,192,133,0,0,0,0,47,47,0,0,0,0,0,80,0,0,525,525,525,260,260,458,23,0,0,125,26,194,194,236,193,193,193,348,618,0,70,435,76,59,55,133,0,232,16,30,0,63,19,18,22,0,3,48,64,0,10,27,10,20,25,10,0,13,25,17,33,49,66,3,16,6,21,21,0,17,34,46,54,22,50,0,25,9,0,14,9,0,32,0,0,0,0,0,0,0,38,0
"Thu Oct 14, 8 PM - 9 PM",795,765,600,775,817,0,817,817,830,835,0,0,0,500,0,415,0,515,11,0,37,93,41,73,109,383,"1,525",58,47,140,93,20,192,79,53,17,148,16,238,0,10,89,156,78,12,132,0,25,152,79,75,0,20,267,2,62,53,15,173,9,91,27,146,42,37,939,0,264,15,182,24,0,235,73,120,36,565,184,52,46,46,192,133,0,0,0,0,47,47,0,0,0,0,0,80,0,0,525,525,525,260,260,458,23,0,0,125,26,194,194,236,193,193,193,348,618,0,70,435,76,59,55,133,0,232,19,31,0,88,14,17,24,0,2,42,13,8,30,10,29,2,60,11,0,11,30,19,29,46,70,3,20,5,23,3,0,32,34,36,117,18,29,1,28,17,0,55,14,0,45,0,0,0,0,0,0,0,38,0
"Thu Oct 14, 9 PM - 10 PM",795,765,600,775,817,0,817,817,830,835,0,0,0,500,0,415,0,515,11,0,37,93,41,73,109,383,"1,525",58,47,140,93,20,192,79,53,17,148,16,238,0,10,89,156,78,12,132,0,25,152,79,75,0,20,267,2,62,53,15,173,9,91,27,146,42,37,939,0,264,15,182,24,0,235,73,120,36,565,184,52,46,46,192,133,0,0,0,0,47,47,0,0,0,0,0,80,0,0,525,525,525,260,260,458,23,0,0,125,27,194,194,236,193,193,193,348,618,0,70,435,76,59,55,133,0,232,11,27,0,52,8,33,23,0,1,32,0,26,6,0,13,0,67,11,0,8,31,6,20,49,37,1,13,5,1,0,7,10,10,35,31,12,12,5,28,14,2,54,15,0,78,0,0,0,0,0,0,0,38,0
"Thu Oct 14, 10 PM - 11 PM",795,765,600,775,817,0,817,817,830,835,0,0,0,500,0,415,0,505,11,0,37,93,41,73,109,383,"1,525",58,47,140,93,20,192,79,53,17,148,16,238,0,10,89,156,78,12,132,0,25,152,79,75,0,20,267,2,62,53,15,173,9,91,27,146,42,37,939,0,264,15,182,24,0,235,73,120,36,565,184,52,46,46,192,133,0,0,0,0,47,47,0,0,0,0,0,80,0,0,525,525,525,260,260,458,23,0,0,125,27,194,194,236,193,193,193,348,618,0,70,435,76,59,55,133,0,232,3,28,3,60,7,26,8,0,0,11,4,23,6,1,13,3,26,11,0,13,21,7,6,19,78,7,4,5,4,1,7,9,6,35,25,14,12,5,38,11,3,61,21,5,38,0,0,0,0,0,0,0,38,0
